# V1.0	10.20.2004	 User: lda	 Total number of Spots: 3072
# Created by: TIGR Spotfinder 2. 2. 3.
# TIFF files processed: CL100804#45G1_Cy3(112-10).tif; CL100804#45G1_Cy5(112-10).tif.
# 
UID	IA	IB	R	C	MR	MC	SR	SC	FlagA	FlagB	SA	SF	QCscore	QCA	QCB	BkgA	BkgB
129	165494	166826	3	33	1	2	3	9	C	C	81	1.0000	0.8859	0.8768	0.8949	44793.000000	16767.000000
130	80306	25285	3	34	1	2	3	10	C	C	63	1.0000	0.0000	0.0000	0.0000	27405.000000	12978.000000
131	64418	24844	3	35	1	2	3	11	C	C	57	1.0000	0.2027	0.2290	0.1763	21546.000000	10887.000000
132	59268	15110	3	36	1	2	3	12	C	C	51	1.0000	0.0000	0.0000	0.0000	20502.000000	9282.000000
133	83811	40877	3	37	1	2	3	13	B	B	45	1.0000	0.1784	0.1806	0.1763	21690.000000	8955.000000
134	261149	156879	3	38	1	2	3	14	C	C	78	1.0000	0.5373	0.5445	0.5301	49374.000000	20124.000000
135	3962084	3057054	3	39	1	2	3	15	C	C	108	0.7222	0.9507	0.9608	0.9405	102570.000000	61698.000000
136	180707	76787	3	40	1	2	3	16	C	C	64	1.0000	0.1980	0.2115	0.1846	49536.000000	15936.000000
137	127298	46679	3	41	1	2	3	17	C	C	56	1.0000	0.4087	0.4393	0.3781	30520.000000	11424.000000
138	118643	39413	3	42	1	2	3	18	C	C	66	1.0000	0.3215	0.3426	0.3005	30888.000000	12606.000000
139	218406	110838	3	43	1	2	3	19	C	C	73	1.0000	0.3804	0.3951	0.3658	44457.000000	16206.000000
140	70623	23796	3	44	1	2	3	20	C	C	51	1.0000	0.1072	0.1199	0.0944	26571.000000	9792.000000
141	105215	35392	3	45	1	2	3	21	C	C	56	1.0000	0.3381	0.3715	0.3047	31080.000000	11144.000000
142	195408	116071	3	46	1	2	3	22	C	C	80	1.0000	0.1327	0.1361	0.1293	68080.000000	28400.000000
143	153012	130575	3	47	1	2	3	23	C	C	77	1.0000	0.6715	0.6538	0.6892	41118.000000	16632.000000
144	3334037	3410769	3	48	1	2	3	24	C	C	89	1.0000	0.9686	0.9657	0.9715	76451.000000	42364.000000
145	87697	67790	4	1	1	1	4	1	C	C	62	1.0000	0.8177	0.7945	0.8408	25854.000000	12214.000000
146	96825	101546	4	2	1	1	4	2	C	C	72	1.0000	0.5123	0.4774	0.5472	37872.000000	16776.000000
147	136001	86657	4	3	1	1	4	3	C	C	76	1.0000	0.4795	0.4885	0.4705	33668.000000	14516.000000
148	60771	17121	4	4	1	1	4	4	C	C	50	1.0000	0.0000	0.0000	0.0000	19250.000000	9050.000000
149	117946	55805	4	5	1	1	4	5	C	C	69	1.0000	0.1655	0.1763	0.1546	31533.000000	12282.000000
150	343875	285029	4	6	1	1	4	6	C	C	78	1.0000	0.9209	0.9209	0.9209	35022.000000	12870.000000
151	91042	40244	4	7	1	1	4	7	C	C	53	1.0000	0.2847	0.3002	0.2692	20511.000000	8904.000000
152	75929	34176	4	8	1	1	4	8	C	C	60	1.0000	0.1988	0.2131	0.1846	20700.000000	10080.000000
153	41635	13817	4	9	1	1	4	9	B	B	37	1.0000	0.0000	0.0000	0.0000	12358.000000	6660.000000
154	88399	50882	4	10	1	1	4	10	C	C	58	1.0000	0.1518	0.1518	0.1518	23142.000000	10034.000000
155	243519	351528	4	11	1	1	4	11	C	C	87	1.0000	0.8370	0.8287	0.8452	34887.000000	16530.000000
156	2401464	2374641	4	12	1	1	4	12	C	C	90	0.6000	0.9198	0.9198	0.9198	30996.000000	14148.000000
157	169093	146224	4	13	1	1	4	13	C	C	84	1.0000	0.7739	0.7813	0.7664	31332.000000	16884.000000
158	125964	109500	4	14	1	1	4	14	C	C	84	1.0000	0.5207	0.5053	0.5360	36372.000000	18060.000000
159	1778465	2148258	4	15	1	1	4	15	C	C	101	1.0000	0.8826	0.8756	0.8896	73831.000000	45046.000000
